Validation Accuracy	Validation Loss	Training Accuracy	Training Loss
0.96	209672420.0	1.0	2387007.8
0.96	209600400.0	1.0	2386411.2
0.96	209534030.0	1.0	2385821.8
0.96	209472580.0	1.0	2385225.0
0.96	209416400.0	1.0	2384631.5
0.96	209364160.0	1.0	2384034.5
0.96	209315950.0	1.0	2383445.2
0.96	209270960.0	1.0	2382848.2
0.96	209228860.0	1.0	2382250.8
0.96	209190110.0	1.0	2381663.2
0.96	209153520.0	1.0	2381064.8
0.96	209119020.0	1.0	2380471.2
0.96	209086980.0	1.0	2379875.0
0.96	209056640.0	1.0	2379287.2
0.96	209027740.0	1.0	2378690.2
0.96	209000780.0	1.0	2378101.2
0.96	208974800.0	1.0	2377504.2
0.96	208950050.0	1.0	2376916.5
0.96	208926340.0	1.0	2376320.2
0.96	208904140.0	1.0	2375732.8
0.96	208882290.0	1.0	2375136.2
0.96	208861400.0	1.0	2374548.5
0.96	208841460.0	1.0	2373952.8
0.96	208822160.0	1.0	2373365.2
0.96	208802670.0	1.0	2372768.8
0.96	208784080.0	1.0	2372182.8
0.96	208766370.0	1.0	2371586.5
0.96	208748780.0	1.0	2371005.0
0.96	208731470.0	1.0	2370409.2
0.96	208714770.0	1.0	2369823.2
0.96	208698180.0	1.0	2369227.2
0.96	208681970.0	1.0	2368639.8
0.96	208666130.0	1.0	2368052.8
0.96	208650670.0	1.0	2367458.5
0.96	208634830.0	1.0	2366877.0
0.96	208619420.0	1.0	2366283.0
0.96	208604450.0	1.0	2365696.2
0.96	208588940.0	1.0	2365109.0
0.96	208574050.0	1.0	2364520.8
0.96	208559250.0	1.0	2363935.2
0.96	208544580.0	1.0	2363348.5
0.96	208529740.0	1.0	2362754.8
0.96	208515340.0	1.0	2362175.2
0.96	208501170.0	1.0	2361589.2
0.96	208486290.0	1.0	2361000.8
0.96	208471940.0	1.0	2360416.0
0.96	208457680.0	1.0	2359831.2
0.96	208443800.0	1.0	2359243.2
0.96	208429220.0	1.0	2358656.8
0.96	208414830.0	1.0	2358077.5
0.96	208401000.0	1.0	2357492.5
0.96	208386960.0	1.0	2356904.8
0.96	208372590.0	1.0	2356319.8
0.96	208358480.0	1.0	2355735.0
0.96	208344600.0	1.0	2355156.5
0.96	208330530.0	1.0	2354568.8
0.96	208316180.0	1.0	2353984.2
0.96	208302380.0	1.0	2353405.5
0.96	208288270.0	1.0	2352822.5
0.96	208274130.0	1.0	2352235.5
0.96	208260240.0	1.0	2351650.8
0.96	208246420.0	1.0	2351072.2
0.96	208232110.0	1.0	2350495.2
0.96	208218190.0	1.0	2349911.0
0.96	208204290.0	1.0	2349332.2
0.96	208190370.0	1.0	2348747.2
0.96	208176130.0	1.0	2348162.8
0.96	208162300.0	1.0	2347584.2
0.96	208148220.0	1.0	2347007.8
0.96	208133970.0	1.0	2346429.0
0.96	208119840.0	1.0	2345846.5
0.96	208105940.0	1.0	2345268.5
0.96	208091940.0	1.0	2344683.0
0.96	208077860.0	1.0	2344105.0
0.96	208063660.0	1.0	2343523.0
0.96	208049780.0	1.0	2342946.5
0.96	208035360.0	1.0	2342368.2
0.96	208021420.0	1.0	2341791.8
0.96	208007470.0	1.0	2341215.2
0.96	207993150.0	1.0	2340637.5
0.96	207979140.0	1.0	2340061.2
0.96	207965000.0	1.0	2339479.2
0.96	207951000.0	1.0	2338902.8
0.96	207936480.0	1.0	2338325.0
0.96	207922500.0	1.0	2337750.8
0.96	207908540.0	1.0	2337173.0
0.96	207894460.0	1.0	2336598.8
0.96	207879980.0	1.0	2336022.5
0.96	207865780.0	1.0	2335445.0
